,parent_issue,privacy_issue
0,Ownership,This service takes credit for your content
1,Ownership,If you offer suggestions to the service they become the owner of the ideas that you give them
2,Ownership,You maintain ownership of your content
3,Ownership,This service can use your content for all their existing and future services
4,Ownership,The service disables software that you are not licensed to use
5,Ownership,If you offer suggestions to the service they may use that without your approval or compensation but they do not become the owner
6,Ownership,You waive your moral rights
7,Governance,The service can intervene in user disputes
8,Governance,This service cannot be held responsible for disputes that you may have with other users
9,Governance,Any liability on behalf of the service is only limited to the fees you paid as a user
10,Governance,Defend indemnify hold harmless survives termination
11,Governance,This service is only available for use individually and noncommercially
12,Governance,You are prohibited from attempting to gain unauthorized access to other computer systems
13,Governance,This service assumes no responsibility and liability for the contents of links to other websites
14,Governance,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision
15,Governance,Other applicable rules terms conditions or guidelines
16,Governance,You can scrape the site as long as it doesnt impact the server too much
17,Governance,Service fines users for Terms of Service violations
18,Governance,You are allowed to quote their content with attribution
19,Governance,Minors must have the authorization of their legal guardians to use the service
20,Governance,Per the services terms you may not express negative opinions about them
21,Governance,This service offers a symbolic but nonbinding statement about a matter of opinion ethics society or politics
22,Governance,This service fines spammers
23,Governance,This service is only available to users over a certain age
24,Governance,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder
25,Governance,Harming minors in any ways is prohibited
26,Governance,You have a reduced time period to take legal action against the service
27,Governance,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service
28,Governance,This service is only available for commercial use
29,Governance,You agree to defend indemnify and hold the service harmless in case of a claim related to your use of the service
30,Governance,This service assumes no liability for any losses or damages resulting from any matter relating to the service
31,Guarantee,The service is not responsible for linked or clearly quoted content from thirdparty content providers
32,Guarantee,You will be notified about website maintenance
33,Guarantee,Accessibility to this service is guaranteed at 99 or more
34,Guarantee,The service does not guarantee that software errors will be corrected
35,Guarantee,The service does not guarantee accuracy or reliability of the information provided
36,Guarantee,The service is provided as is and to be used at your sole risk
37,Guarantee,You are responsible for any risks damages or losses that may incur by downloading materials
38,Guarantee,No guarantee is given regarding quality
39,Guarantee,Your use is throttled
40,Guarantee,This service does not guarantee that it or the products obtained through it meet your expectations or requirements
41,Guarantee,The service provider makes no warranty regarding uninterrupted timely secure or errorfree service
42,User Involvement in Changing Terms,Critical changes to the terms are made without user involvement
43,User Involvement in Changing Terms,Your feedback is invited regarding changes to the terms
44,Changes,There is a date of the last update of the agreements
45,Changes,Changes in policies are applied retroactively
46,Unclassified,none
47,Jurisdiction and governing laws,Personal information that is shared outside its jurisdiction is processed according to the original jurisdictions data protection standards
48,Jurisdiction and governing laws,The court of law governing the terms is in location X
49,Jurisdiction and governing laws,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection
50,Jurisdiction and governing laws,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection
51,Jurisdiction and governing laws,The service claims to be GDPR compliant for European users
52,Jurisdiction and governing laws,The service claims to be CCPA compliant for California users
53,Jurisdiction and governing laws,The service claims to be LGPD compliant for Brazilian users
54,Jurisdiction and governing laws,The service is only available in some countries approved by its government
55,Notice of Changing Terms,The terms may be changed at any time but you will receive notification of the changes
56,Notice of Changing Terms,Conditions may change but your continued acceptance is not inferred from an earlier acceptance
57,Notice of Changing Terms,The service reviews its privacy policy on a regular basis
58,Notice of Changing Terms,You should revisit the terms periodically although in case of material changes the service will notify
59,Notice of Changing Terms,Terms may be changed any time at their discretion without notice to you
60,Notice of Changing Terms,When the service wants to make a material change to its terms you are notified at least 30 days in advance
61,Notice of Changing Terms,When the service wants to change its terms you are notified a week or more in advance
62,Notice of Changing Terms,Instead of asking directly this Service will assume your consent to changes of terms merely from your usage
63,Suspension and Censorship,Usernames can be rejected or changed for any reason
64,Suspension and Censorship,Your account can be suspended for several reasons
65,Suspension and Censorship,Users who have been permanently banned from this service are not allowed to reregister under a new account
66,Suspension and Censorship,If you are the target of a copyright claim your content may be removed
67,Suspension and Censorship,User accounts can be terminated after having been in breach of the terms of service repeatedly
68,Suspension and Censorship,They may stop providing the service at any time
69,Suspension and Censorship,Your content can be deleted if you violate the terms
70,Suspension and Censorship,30 days of notice are given before closing your account
71,Suspension and Censorship,Content you post may be edited by the service for any reason
72,Suspension and Censorship,User suspension from the service will be fair and proportionate
73,Suspension and Censorship,Political discussions which are against the governmentadvocated value are prohibited
74,Suspension and Censorship,Specific content can be deleted without reason and may be removed without prior notice
75,Suspension and Censorship,Usergenerated content can be blocked or censored for any reason
76,Suspension and Censorship,Your account can be deleted or permanently suspended without prior notice and without a reason
